contract_id,charge_id,income_type,amount,due_date,description,is_voided
1100733022,11007330221700,1,  239.00,20141005,TUITION,0
1100733022,11007330221800,1,  239.00,20141105,TUITION,0
1100733022,11007330221900,1,  239.00,20141205,TUITION,0
1100733022,11007330222000,1,  239.00,20150105,TUITION,0
1100733022,11007330222100,1,  239.00,20150205,TUITION,0
1100733221,11007332211000,1, 2390.00,20130304,TUITION,0
1100733322,11007333221000,1,  715.00,20130825,TUITION,0
1100733322,11007333221100,1, 1365.00,20130924,TUITION,0
1100733422,11007334221000,1,  353.00,20130502,TUITION,0
1100733422,11007334221100,1,  353.00,20130601,TUITION,0
1100734021,11007340211000,1, 1190.00,20130331,TUITION,0
1100734021,11007340211100,1,  800.00,20130430,TUITION,0
1100734822,11007348221000,1, 1195.00,20130605,TUITION,0
1100734822,11007348221100,1, 1195.00,20130704,TUITION,0
1100735122,11007351221000,1, 3826.00,20131120,TUITION,0
1100735122,11007351221100,1,  430.00,20131219,TUITION,0
1100735221,11007352211000,1, 2250.00,20130418,TUITION,0
1100735321,11007353211000,1,   99.00,20130418,TUITION,0
1100735321,11007353211100,1,  239.00,20130520,TUITION,0
1100735321,11007353211200,1,  239.00,20130620,TUITION,0
1100735321,11007353211300,1,  239.00,20130720,TUITION,0
1100735321,11007353211400,1,  239.00,20130820,TUITION,0
1100735321,11007353211500,1,  239.00,20130920,TUITION,0
1100735321,11007353211600,1,  239.00,20131020,TUITION,0
1100735321,11007353211700,1,  239.00,20131120,TUITION,0
1100735321,11007353211800,1,  239.00,20131220,TUITION,0
1100735321,11007353211900,1,  239.00,20140120,TUITION,0
1100735321,11007353212000,1,  239.00,20140220,TUITION,0
1100735321,11007353212100,1,  238.00,20140320,TUITION,0
1100735421,11007354211000,1,   99.00,20130425,TUITION,0
1100735421,11007354211100,1,  239.00,20130605,TUITION,0
1100735421,11007354211200,1,  239.00,20130705,TUITION,0
1100735421,11007354211300,1,  239.00,20130805,TUITION,0
1100735421,11007354211400,1,  239.00,20130905,TUITION,0
1100735421,11007354211500,1,  239.00,20131005,TUITION,0
1100735421,11007354211600,1,  239.00,20131105,TUITION,0
1100735421,11007354211700,1,  239.00,20131205,TUITION,0
1100735421,11007354211800,1,  239.00,20140105,TUITION,0
1100735421,11007354211900,1,  239.00,20140205,TUITION,0
1100735421,11007354212000,1,  239.00,20140305,TUITION,0
1100735421,11007354212100,1,  239.00,20140405,TUITION,0
